Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM
NZ_CP018632.1	NZ_CP018632.1@26	1871267	1872061	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1606]	['2.80e-04']	[0.355]	[0.317]
NZ_CP018632.1	NZ_CP018632.1@111	7580565	7581398	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[6591]	['2.70e-08']	[0.421]	[0.391]
NZ_CP018632.1	NZ_CP018632.1@21	1565677	1566783	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1353]	['2.90e-04']	[0.32]	[0.405]
NZ_CP018632.1	NZ_CP018632.1@19	1225873	1226583	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1039]	['1.60e-03']	[0.485]	[0.405]
NZ_CP018632.1	NZ_CP018632.1@85	5567022	5572359	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[4836, 4840]	['1.00e-04', '3.10e-04']	[0.424, 0.516]	[0.394, 0.482]
NZ_CP018632.1	NZ_CP018632.1@80	5356951	5357784	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4653]	['3.30e-08']	[0.486]	[0.468]
NZ_CP018632.1	NZ_CP018632.1@53	3565996	3566739	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3051]	['3.20e-09']	[0.581]	[0.486]
NZ_CP018632.1	NZ_CP018632.1@5	227927	228337	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[207]	['1.60e-40']	[0.891]	[0.409]
NZ_CP018632.1	NZ_CP018632.1@74	4979397	4979942	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[4347]	['2.10e-10']	[0.797]	[0.825]
NZ_CP018632.1	NZ_CP018632.1@86	5632192	5632890	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4894]	['1.30e-04']	[0.502]	[0.405]
NZ_CP018632.1	NZ_CP018632.1@31	2221370	2221852	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[1944]	['8.80e-03']	[0.41]	[0.317]
NZ_CP018632.1	NZ_CP018632.1@71	4832514	4833608	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4211]	['6.50e-06']	[0.323]	[0.415]
NZ_CP018632.1	NZ_CP018632.1@101	6951223	6951966	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[6029]	['8.00e-08']	[0.637]	[0.539]
NZ_CP018632.1	NZ_CP018632.1@38	2717971	2718936	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2366]	['7.30e-11']	[0.304]	[0.32]
NZ_CP018632.1	NZ_CP018632.1@41	2845910	2847286	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[2471]	['4.90e-08']	[0.468]	[0.606]
NZ_CP018632.1	NZ_CP018632.1@78	5243920	5244738	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4566]	['1.60e-05']	[0.337]	[0.31]
NZ_CP018632.1	NZ_CP018632.1@93	6206893	6207348	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[5362]	['4.60e-03']	[0.454]	[0.307]
NZ_CP018632.1	NZ_CP018632.1@70	4810628	4810936	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[4189]	['5.20e-08']	[0.709]	[0.669]
NZ_CP018632.1	NZ_CP018632.1@11	640241	641218	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[559]	['1.20e-48']	[0.979]	[0.981]
NZ_CP018632.1	NZ_CP018632.1@33	2318657	2320438	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[2023]	['1.40e-19']	[0.354]	[0.743]
NZ_CP018632.1	NZ_CP018632.1@106	7232333	7233955	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[6288]	['1.30e-06']	[0.349]	[0.412]
NZ_CP018632.1	NZ_CP018632.1@112	7626605	7627957	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[6634]	['4.20e-90']	[0.619]	[0.933]
NZ_CP018632.1	NZ_CP018632.1@102	7008349	7009167	False	0%	0%	I-A	0.0	['PD_DExK_2_CAS-I-II-III-IV-V-VI']	[6087]	['2.00e-32']	[0.447]	[0.969]
NZ_CP018632.1	NZ_CP018632.1@28	1906922	1907710	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1638]	['4.40e-08']	[0.62]	[0.567]
NZ_CP018632.1	NZ_CP018632.1@30	2056479	2057597	False	14%	0%	I-A	1.0	['Cas3_1_I']	[1788]	['7.00e-05']	[0.332]	[0.629]
NZ_CP018632.1	NZ_CP018632.1@25	1796267	1797529	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1546]	['1.30e-74']	[0.679]	[0.916]
NZ_CP018632.1	NZ_CP018632.1@77	5145998	5146783	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[4477]	['1.90e-48']	[0.683]	[0.584]
NZ_CP018632.1	NZ_CP018632.1@98	6703111	6703872	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5805]	['3.40e-04']	[0.421]	[0.37]
NZ_CP018632.1	NZ_CP018632.1@52	3540893	3542263	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[3033]	['1.60e-85']	[0.604]	[0.93]
NZ_CP018632.1	NZ_CP018632.1@69	4707202	4708260	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4113]	['2.70e-04']	[0.331]	[0.415]
NZ_CP018632.1	NZ_CP018632.1@64	4517304	4518092	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3924]	['6.40e-03']	[0.342]	[0.644]
NZ_CP018632.1	NZ_CP018632.1@43	2967569	2968651	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2572]	['1.30e-05']	[0.391]	[0.489]
NZ_CP018632.1	NZ_CP018632.1@51	3500856	3501581	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[2998]	['5.30e-34']	[0.674]	[0.988]
NZ_CP018632.1	NZ_CP018632.1@72	4888766	4889506	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4260]	['2.50e-10']	[0.644]	[0.535]
NZ_CP018632.1	NZ_CP018632.1@56	3670219	3671184	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[3158]	['6.50e-52']	[0.994]	[0.984]
NZ_CP018632.1	NZ_CP018632.1@99	6861830	6862567	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5946]	['3.30e-06']	[0.415]	[0.352]
NZ_CP018632.1	NZ_CP018632.1@27	1889258	1890019	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[1622]	['2.60e-03']	[0.354]	[0.702]
NZ_CP018632.1	NZ_CP018632.1@23	1694233	1694922	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[1455]	['5.30e-20']	[0.4]	[0.989]
NZ_CP018632.1	NZ_CP018632.1@75	4987111	4987938	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4353]	['1.70e-06']	[0.5]	[0.465]
NZ_CP018632.1	NZ_CP018632.1@54	3578287	3579012	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[3064]	['1.40e-59']	[0.926]	[0.725]
NZ_CP018632.1	NZ_CP018632.1@91	5890953	5891828	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[5130]	['3.50e-21']	[0.671]	[0.633]
NZ_CP018632.1	NZ_CP018632.1@13	704304	705413	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[621]	['1.40e-05']	[0.316]	[0.405]
NZ_CP018632.1	NZ_CP018632.1@104	7082885	7084255	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[6159]	['6.30e-86']	[0.604]	[0.93]
NZ_CP018632.1	NZ_CP018632.1@83	5408044	5408496	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[4694]	['3.00e-04']	[0.477]	[0.312]
NZ_CP018632.1	NZ_CP018632.1@9	446318	447076	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[418]	['1.10e-04']	[0.383]	[0.327]
NZ_CP018632.1	NZ_CP018632.1@84	5548237	5549022	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4815]	['1.90e-05']	[0.439]	[0.401]
NZ_CP018632.1	NZ_CP018632.1@32	2308870	2309958	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2016]	['1.50e-03']	[0.344]	[0.419]
NZ_CP018632.1	NZ_CP018632.1@3	149699	150499	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[131]	['6.80e-04']	[0.419]	[0.585]
NZ_CP018632.1	NZ_CP018632.1@67	4627758	4629128	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[4034]	['6.30e-86']	[0.604]	[0.93]
NZ_CP018632.1	NZ_CP018632.1@103	7060835	7061272	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[6142]	['3.30e-04']	[0.562]	[0.695]
NZ_CP018632.1	NZ_CP018632.1@81	5368228	5368719	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[4663]	['4.40e-05']	[0.909]	[0.981]
NZ_CP018632.1	NZ_CP018632.1@4	214600	215052	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[189]	['1.30e-37']	[0.94]	[0.477]
NZ_CP018632.1	NZ_CP018632.1@36	2628186	2630069	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[2295]	['1.40e-16']	[0.341]	[0.624]
NZ_CP018632.1	NZ_CP018632.1@66	4613903	4614985	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4020]	['4.50e-05']	[0.321]	[0.408]
NZ_CP018632.1	NZ_CP018632.1@7	274149	275195	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[256]	['5.00e-09']	[0.367]	[0.444]
NZ_CP018632.1	NZ_CP018632.1@90	5851085	5851768	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[5092]	['3.50e-17']	[0.412]	[0.979]
NZ_CP018632.1	NZ_CP018632.1@2	123308	124087	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[105]	['7.10e-05']	[0.442]	[0.412]
NZ_CP018632.1	NZ_CP018632.1@89	5683145	5685130	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4938]	['1.40e-05']	[0.363]	[0.472]
NZ_CP018632.1	NZ_CP018632.1@82	5374924	5375715	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4669]	['4.30e-04']	[0.405]	[0.366]
NZ_CP018632.1	NZ_CP018632.1@92	5967839	5969794	False	20%	NA	IV-A1	2.0	['Csf4_0_IVA']	[5176]	['8.20e-57']	[0.9]	[0.904]
NZ_CP018632.1	NZ_CP018632.1@59	3889736	3890500	False	0%	0%	I-A	0.0	['PD_DExK_0_CAS-I-II-III-IV-V-VI']	[3374]	['1.60e-42']	[0.467]	[0.736]
NZ_CP018632.1	NZ_CP018632.1@16	764694	765050	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[671]	['1.00e-20']	[0.748]	[0.831]
NZ_CP018632.1	NZ_CP018632.1@24	1789432	1790694	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1539]	['1.00e-72']	[0.675]	[0.909]
