Contig	Start	End	Strand	Pos
NZ_MKZR01000001.1	68	511	1	1
NZ_MKZR01000001.1	1160	1987	-1	2
NZ_MKZR01000001.1	2744	6856	1	3
NZ_MKZR01000001.1	6871	7827	-1	4
NZ_MKZR01000001.1	8027	8443	-1	5
NZ_MKZR01000001.1	8418	8609	-1	6
NZ_MKZR01000001.1	9123	10562	-1	7
NZ_MKZR01000001.1	10935	11663	1	8
NZ_MKZR01000001.1	11980	12894	1	9
NZ_MKZR01000001.1	13188	14249	1	10
NZ_MKZR01000001.1	14626	15672	1	11
NZ_MKZR01000001.1	16897	17736	1	12
NZ_MKZR01000001.1	17928	18143	-1	13
NZ_MKZR01000001.1	18341	19123	-1	14
NZ_MKZR01000001.1	20930	21229	-1	15
NZ_MKZR01000001.1	22282	22548	-1	16
NZ_MKZR01000001.1	22539	22934	-1	17
NZ_MKZR01000001.1	23477	23566	-1	18
NZ_MKZR01000001.1	23611	25245	-1	19
NZ_MKZR01000001.1	25416	28628	-1	20
NZ_MKZR01000001.1	28678	28938	1	21
NZ_MKZR01000001.1	30295	30546	-1	22
NZ_MKZR01000001.1	30503	30637	-1	23
NZ_MKZR01000001.1	30761	31519	-1	24
NZ_MKZR01000001.1	31766	32062	-1	25
NZ_MKZR01000001.1	32347	32634	-1	26
NZ_MKZR01000001.1	32940	33227	-1	27
NZ_MKZR01000001.1	33516	33848	-1	28
NZ_MKZR01000001.1	34053	34388	-1	29
NZ_MKZR01000001.1	34467	34799	-1	30
NZ_MKZR01000001.1	35920	36354	-1	31
NZ_MKZR01000001.1	36527	38128	-1	32
NZ_MKZR01000001.1	38171	38269	1	33
NZ_MKZR01000001.1	38511	38720	1	34
NZ_MKZR01000001.1	38933	42160	-1	35
NZ_MKZR01000001.1	42595	42810	-1	36
NZ_MKZR01000001.1	43178	43705	-1	37
NZ_MKZR01000001.1	45041	45508	1	38
NZ_MKZR01000001.1	45508	45993	1	39
NZ_MKZR01000001.1	46077	47471	-1	40
NZ_MKZR01000001.1	47898	48263	-1	41
NZ_MKZR01000001.1	48462	48788	1	42
NZ_MKZR01000001.1	48884	49210	1	43
NZ_MKZR01000001.1	49316	51199	-1	44
NZ_MKZR01000001.1	51691	52608	1	45
NZ_MKZR01000001.1	52975	53529	-1	46
NZ_MKZR01000001.1	53844	54401	1	47
NZ_MKZR01000001.1	54404	54793	-1	48
NZ_MKZR01000001.1	55287	56150	1	49
NZ_MKZR01000001.1	56068	56295	-1	50
NZ_MKZR01000001.1	56459	56875	-1	51
NZ_MKZR01000001.1	57092	58426	1	52
NZ_MKZR01000001.1	58539	61166	1	53
