Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csx1_20_CAS-III	NZ_CP017708.1_6166	308	379	0.0046	14.5	7728122	7729045	NZ_CP017708.1	6166	0.22077922077922077	0.1741424802110818	-1
Csx1_20_CAS-III	NZ_CP017708.1_592	568	379	0.006999999999999999	13.9	718540	720243	NZ_CP017708.1	592	0.2147887323943662	0.32981530343007914	-1
PrimPol_1_CAS-I-II-III-IV-V-VI	NZ_CP017708.1_3646	199	130	0.023	13.5	4629455	4630051	NZ_CP017708.1	3646	0.1658291457286432	0.25384615384615383	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017708.1_272	893	179	3.9e-05	22.6	319839	322517	NZ_CP017708.1	272	0.11646136618141098	0.5921787709497207	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017708.1_485	266	179	7.6e-05	21.7	587229	588026	NZ_CP017708.1	485	0.5112781954887218	0.6703910614525139	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017708.1_3052	163	179	0.00084	18.3	3873074	3873562	NZ_CP017708.1	3052	0.49693251533742333	0.45251396648044695	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017708.1_6005	208	179	0.07400000000000001	12.0	7538931	7539554	NZ_CP017708.1	6005	0.1971153846153846	0.24581005586592178	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CP017708.1_595	307	199	4.8e-15	55.2	723028	723948	NZ_CP017708.1	595	0.9153094462540716	0.9899497487437185	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CP017708.1_593	636	199	1.9e-13	50.0	720642	722549	NZ_CP017708.1	593	0.29559748427672955	0.5879396984924623	-1
Cas9_1_II	NZ_CP017708.1_3088	425	1120	0.0034	14.2	3909732	3911006	NZ_CP017708.1	3088	0.2611764705882353	0.09553571428571428	1
Cas9_1_II	NZ_CP017708.1_3323	425	1120	0.023	11.5	4206181	4207455	NZ_CP017708.1	3323	0.30823529411764705	0.10089285714285715	1
Cas9_1_II	NZ_CP017708.1_7161	428	1120	0.026000000000000002	11.3	8961670	8962953	NZ_CP017708.1	7161	0.2383177570093458	0.09196428571428572	-1
Cas9_1_II	NZ_CP017708.1_4286	428	1120	0.03	11.1	5473819	5475102	NZ_CP017708.1	4286	0.22429906542056074	0.08839285714285715	-1
Cas9_1_II	NZ_CP017708.1_7232	430	1120	0.077	9.7	9057965	9059254	NZ_CP017708.1	7232	0.15348837209302327	0.06428571428571428	1
Cas9_1_II	NZ_CP017708.1_696	432	1120	0.27	7.9	849994	851289	NZ_CP017708.1	696	0.2662037037037037	0.11160714285714286	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_CP017708.1_593	636	218	7.9e-20	70.2	720642	722549	NZ_CP017708.1	593	0.30974842767295596	0.8669724770642202	-1
Cas5_1_CAS-I-B	NZ_CP017708.1_4745	424	276	0.0039	15.2	6027715	6028986	NZ_CP017708.1	4745	0.1957547169811321	0.31521739130434784	1
Cas6f_1_CAS-I-II-III-IV-V-VI	NZ_CP017708.1_1523	529	185	0.083	11.7	1928590	1930176	NZ_CP017708.1	1523	0.07183364839319471	0.20540540540540542	-1
Cas10_0_III	NZ_CP017708.1_597	1006	414	0.00078	17.2	725550	728567	NZ_CP017708.1	597	0.23658051689860835	0.49516908212560384	-1
Cas10_0_III	NZ_CP017708.1_3260	62	414	0.037000000000000005	11.7	4137894	4138079	NZ_CP017708.1	3260	0.6290322580645161	0.0966183574879227	-1
